Transaction_ID,Sender_Customer_ID,Receiver_Customer_ID,Transaction_Amount_INR,Transaction_Timestamp,Payment_Channel,Origin_Country,Destination_Country,Ground_Truth_Label,Anomaly_Type,VCI,TPS,RTR,GRE,PGDS,S_Historical,S_Behavioral,S_Geographic,WRS,Risk_Tier
T0159993,C0119,C0046,2528383,2024-08-10 22:13:17,Card,Cayman Islands,Cayman Islands,0,,0.0,0.0,0.0,0.6,-0.1493,24.8,0.0,60.0,21.2,Low
T9100045,C0198,C0116,572234,2024-12-03 01:13:54,SWIFT,UAE,Singapore,1,Layering,0.0,0.0,0.0,0.325,0.5577,8.8,2.23,32.5,11.44,Low
T0148453,C0114,C0178,2171676,2025-05-07 19:23:16,UPI,UK,UK,0,,0.0,0.0,0.0,0.1,-0.2781,10.8,0.0,10.0,5.2,Low
T0116263,C0092,C0199,331998,2025-11-06 14:24:03,NEFT,India,India,0,,0.0,0.0,0.0,0.1,-0.4452,11.2,0.0,10.0,5.3,Low
T9301050,C0006,C0066,262235,2025-10-14 22:11:21,UPI,Turkey,India,1,Velocity-Spike,29.0,0.0,0.9629,0.325,-0.3723,79.6,49.26,32.5,52.66,Medium
T0112982,C0089,C0007,255060,2025-05-25 16:36:03,Card,UK,India,0,,0.0,0.0,0.0,0.125,-0.1244,10.4,0.0,12.5,5.72,Low
T0062874,C0046,C0190,83659,2024-12-28 03:17:49,UPI,India,India,0,,0.0,0.0,0.0,0.1,-0.8255,15.2,0.0,10.0,6.3,Low
T0057042,C0039,C0036,5871532,2025-06-04 21:37:30,NEFT,India,UK,0,,0.0,0.0,0.0,0.125,1.0583,10.0,4.23,12.5,7.74,Low
T9300977,C0002,C0113,481695,2024-12-15 08:56:23,UPI,India,India,1,Velocity-Spike,28.1176,0.0,0.9532,0.1,0.363,46.4,50.52,10.0,39.36,Low
T0242671,C0175,C0110,185167,2024-08-19 18:41:57,UPI,India,USA,0,,0.0,0.0,0.0,0.125,-0.2748,5.6,0.0,12.5,4.53,Low
T9000133,C0182,C0115,929376,2024-07-28 06:05:30,IMPS,India,India,1,Structuring,1.0,1.0,0.0,0.1,0.8757,38.8,31.5,10.0,27.95,Low
T0121333,C0094,C0085,4141387,2024-10-21 09:56:22,IMPS,India,India,0,,0.0,0.0,0.0,0.1,0.4333,10.8,1.73,10.0,6.06,Low
T0192989,C0143,C0026,2231708,2024-12-01 00:46:50,UPI,India,India,0,,0.0,0.0,0.0,0.1,-0.2564,10.0,0.0,10.0,5.0,Low
T0125493,C0095,C0135,122349,2025-02-19 20:39:32,UPI,India,India,0,,1.0,0.0,0.0,0.1,-0.7663,12.8,3.0,10.0,7.2,Low
T9301378,C0157,C0017,493746,2025-01-12 09:05:14,UPI,Nigeria,India,1,Velocity-Spike,15.0,0.0,0.0,0.325,-0.1975,78.4,30.0,32.5,42.72,Medium
T9300419,C0005,C0139,400165,2025-06-25 13:44:09,UPI,India,India,1,Velocity-Spike,10.0,0.0,0.0,0.1,0.1876,48.0,30.75,10.0,29.88,Low
T9400017,C0136,C0062,1057939,2025-05-24 13:23:45,SWIFT,India,Iran,1,Geographic-Risk,0.0,0.0,0.0,0.8,0.6665,14.8,2.67,80.0,25.04,Low
T0213454,C0159,C0106,1139744,2025-09-05 22:06:13,UPI,India,Cayman Islands,0,,0.0,0.0,0.0,0.5,-0.6508,10.4,0.0,50.0,15.1,Low
T9300289,C0049,C0012,30074,2025-04-07 21:24:52,UPI,India,India,1,Velocity-Spike,28.0625,0.0,0.0,0.1,-0.9076,52.0,30.0,10.0,30.5,Low
T9301369,C0157,C0054,70617,2025-01-12 07:02:14,UPI,Nigeria,India,1,Velocity-Spike,2.0,0.0,0.0,0.325,-0.8455,58.4,6.0,32.5,25.72,Low
T0175319,C0135,C0145,1339290,2025-07-13 00:17:29,NEFT,India,UK,0,,0.0,0.0,0.0,0.125,-0.5788,12.8,0.0,12.5,6.32,Low
T0170221,C0130,C0115,265963,2024-10-19 16:38:27,UPI,UK,India,0,,0.0,0.0,0.0,0.125,-0.5463,10.4,0.0,12.5,5.72,Low
T0113189,C0089,C0131,38642,2024-07-10 11:24:12,IMPS,UK,Turkey,0,,0.0,0.0,0.0,0.425,-0.5899,10.4,0.0,42.5,13.22,Low
T9301434,C0041,C0030,343755,2025-09-20 13:20:10,UPI,UK,India,1,Velocity-Spike,5.0,0.0,0.57,0.125,0.0663,46.8,26.67,12.5,28.16,Low
T0216437,C0159,C0075,354342,2024-08-19 02:36:20,UPI,India,USA,0,,0.0,0.0,0.0,0.125,-0.9345,10.4,0.0,12.5,5.72,Low
T0033674,C0033,C0161,819194,2024-04-26 06:45:46,Card,India,India,0,,0.0,0.0,0.0,0.1,0.3009,9.6,1.2,10.0,5.5,Low
T0216402,C0159,C0060,599406,2025-06-30 18:21:30,IMPS,India,Germany,0,,1.0,0.0,0.0,0.125,-0.846,10.4,3.0,12.5,7.22,Low
T0191736,C0143,C0032,2879437,2025-08-13 12:15:42,Card,India,India,0,,0.0,0.0,0.0,0.1,-0.0225,10.0,0.0,10.0,5.0,Low
T9301052,C0006,C0039,363311,2025-10-15 01:00:21,UPI,Turkey,India,1,Velocity-Spike,29.0,0.0,0.0,0.325,-0.1832,79.6,30.0,32.5,43.02,Medium
T0117255,C0093,C0040,504782,2025-09-06 22:28:47,Card,India,USA,0,,0.0,0.0,0.0,0.125,-0.1806,12.4,0.0,12.5,6.22,Low
T9000031,C0104,C0032,954448,2025-04-11 11:39:21,UPI,North Korea,India,1,Structuring,0.0,1.0,0.0,0.575,1.3797,62.8,30.52,57.5,45.34,Medium
T0220500,C0162,C0156,3286281,2024-06-21 18:44:16,NEFT,India,India,0,,0.0,0.0,0.0,0.1,0.1245,8.0,0.5,10.0,4.75,Low
T0002246,C0003,C0130,363142,2025-02-05 00:32:39,UPI,UAE,USA,0,,0.0,0.0,0.0,0.325,-0.3975,18.0,0.0,32.5,12.62,Low
T9300335,C0091,C0038,29320,2024-11-22 06:14:48,UPI,Germany,India,1,Velocity-Spike,16.0,0.0,0.0,0.125,-0.808,71.2,30.0,12.5,35.92,Low
T0194929,C0143,C0069,1274724,2025-03-16 13:05:16,UPI,India,India,0,,0.0,0.0,0.0,0.1,-0.6021,10.0,0.0,10.0,5.0,Low
T0219212,C0162,C0062,4620587,2024-07-26 08:18:41,IMPS,India,India,0,,0.0,0.0,0.0516,0.1,0.6064,8.0,3.46,10.0,6.23,Low
T0228530,C0167,C0160,2654785,2025-08-20 15:05:21,SWIFT,India,India,0,,0.0,0.0,0.0,0.1,-0.1036,10.8,0.0,10.0,5.2,Low
T0113861,C0090,C0144,1482940,2025-01-22 02:15:40,UPI,Turkey,India,0,,0.0,0.0,0.0,0.325,-0.5269,19.6,0.0,32.5,13.02,Low
T9300992,C0002,C0128,177976,2024-12-15 11:11:23,UPI,India,India,1,Velocity-Spike,28.3023,0.0,1.0,0.1,-0.2902,46.4,50.0,10.0,39.1,Low
T9301425,C0157,C0161,427258,2025-01-12 16:00:14,UPI,Nigeria,India,1,Velocity-Spike,27.5,0.0,0.0,0.325,-0.2993,58.4,30.0,32.5,37.72,Low
T9200036,C0141,C0143,1725369,2025-05-23 02:47:15,IMPS,India,India,1,Round-Tripping,0.0,0.0,0.0,0.1,1.6886,12.4,6.75,10.0,8.98,Low
T9300242,C0049,C0031,429514,2025-04-07 11:58:52,UPI,India,India,1,Velocity-Spike,1.0,0.0,1.0,0.1,-0.2959,52.0,23.0,10.0,27.0,Low
T0267258,C0196,C0029,369172,2025-10-03 02:06:02,UPI,Germany,Singapore,0,,0.0,0.0,0.0,0.125,-0.3883,11.6,0.0,12.5,6.02,Low
T9300144,C0019,C0146,397910,2025-03-20 06:13:09,UPI,Nigeria,India,1,Velocity-Spike,29.0,0.0,0.0,0.325,0.1828,55.6,30.73,32.5,37.39,Low
T0014137,C0015,C0188,73802,2025-09-10 21:20:36,Card,India,USA,0,,0.0,0.0,0.0,0.125,-0.5143,11.6,0.0,12.5,6.02,Low
T0185437,C0141,C0073,254806,2025-03-14 18:19:49,UPI,Singapore,UAE,0,,0.0,0.0,0.0,0.425,-0.5634,12.4,0.0,42.5,13.72,Low
T0110191,C0087,C0131,662190,2025-01-25 02:29:33,IMPS,India,India,0,,0.0,0.0,0.0,0.1,0.0605,12.8,0.24,10.0,5.82,Low
T0233914,C0167,C0033,9511056,2024-10-21 12:53:11,NEFT,India,India,0,,0.0,0.0,0.0,0.1,2.3729,10.8,9.49,10.0,9.94,Low
T9300911,C0023,C0008,302529,2024-05-22 10:26:45,UPI,Pakistan,India,1,Velocity-Spike,9.0,0.0,0.0,0.325,-0.2969,79.2,27.0,32.5,41.42,Medium
T9300637,C0123,C0011,85828,2025-11-29 01:59:02,UPI,India,India,1,Velocity-Spike,24.0,0.0,0.0,0.1,-0.4884,46.8,30.0,10.0,29.2,Low
T0168448,C0129,C0197,2295409,2025-12-12 02:21:26,IMPS,India,UAE,0,,0.0,0.0,0.0,0.425,-0.2334,12.4,0.0,42.5,13.72,Low
T0189838,C0143,C0189,1199445,2024-06-28 23:33:35,IMPS,India,USA,0,,0.0,0.0,0.0,0.125,-0.6293,30.0,0.0,12.5,10.62,Low
T9000084,C0157,C0029,939206,2024-07-28 11:03:32,IMPS,Nigeria,India,1,Structuring,2.0,1.0,0.0,0.325,0.4847,58.4,32.94,32.5,39.2,Low
T9300786,C0189,C0072,177026,2025-03-20 09:40:46,UPI,UAE,India,1,Velocity-Spike,20.0,0.0,0.0,0.325,-0.5317,77.2,30.0,32.5,42.42,Medium
T9300037,C0063,C0198,418332,2024-12-17 00:51:58,UPI,India,India,1,Velocity-Spike,29.0,0.0,0.0,0.1,0.2267,46.8,30.91,10.0,29.66,Low
T9301179,C0084,C0017,146113,2025-07-02 03:53:28,UPI,India,India,1,Velocity-Spike,29.0,0.0,0.0,0.1,-0.3587,67.6,30.0,10.0,34.4,Low
T0136953,C0107,C0168,216061,2024-08-02 01:53:40,NEFT,India,India,0,,0.0,0.0,0.0,0.1,-0.6228,9.6,0.0,10.0,4.9,Low
T9300243,C0049,C0182,470123,2025-04-07 12:34:52,UPI,India,India,1,Velocity-Spike,2.0,0.0,1.0,0.1,-0.2337,72.0,26.0,10.0,33.5,Low
T0082816,C0064,C0131,326158,2024-10-28 01:30:40,NEFT,India,India,0,,0.0,0.0,0.0,0.1,-0.4541,14.8,0.0,10.0,6.2,Low
T0046767,C0037,C0104,1792444,2025-11-06 02:11:27,UPI,India,India,0,,0.0,0.0,0.0,0.1,-0.4151,8.8,0.0,10.0,4.7,Low
T9000161,C0025,C0131,909345,2024-09-04 15:51:28,IMPS,Myanmar,India,1,Structuring,2.0,1.0,0.0,0.575,1.2827,42.4,36.13,57.5,43.04,Medium
T0058414,C0040,C0167,74278,2025-11-12 21:32:19,UPI,India,India,0,,0.0,0.0,0.0,0.1,-0.5132,8.8,0.0,10.0,4.7,Low
T0243846,C0177,C0043,1047225,2024-06-26 13:25:27,IMPS,Singapore,Cayman Islands,0,,0.0,0.0,1.0,0.5,0.6501,11.2,22.6,50.0,26.6,Low
T0236747,C0169,C0178,382746,2024-07-02 18:37:45,NEFT,India,UAE,0,,0.0,0.0,0.0,0.425,-0.3675,16.4,0.0,42.5,14.72,Low
T9300004,C0063,C0054,41331,2024-12-16 10:36:58,UPI,India,India,1,Velocity-Spike,3.0,0.0,0.0,0.1,-0.5841,46.8,9.0,10.0,18.7,Low
T0245959,C0177,C0153,269613,2024-04-12 17:16:08,IMPS,Singapore,India,0,,0.0,0.0,0.0,0.125,-0.5407,11.2,0.0,12.5,5.92,Low
T9300523,C0053,C0138,487075,2024-10-08 20:03:29,UPI,India,India,1,Velocity-Spike,29.0,0.0,0.0,0.1,0.3746,46.8,31.5,10.0,29.95,Low
T0078494,C0059,C0022,1208904,2024-11-15 00:04:27,UPI,USA,India,0,,0.0,0.0,0.0,0.125,-0.6259,8.0,0.0,12.5,5.12,Low
T0175933,C0135,C0120,4314584,2024-04-22 22:21:07,Card,India,Germany,0,,0.0,0.0,0.0,0.125,0.4959,12.8,1.98,12.5,7.32,Low
T0120137,C0094,C0112,2443726,2025-05-23 12:59:35,Card,India,India,0,,0.0,0.0,0.0,0.1,-0.1798,10.8,0.0,10.0,5.2,Low
T9301337,C0017,C0032,6138,2025-08-19 04:19:27,UPI,Pakistan,India,1,Velocity-Spike,28.0323,0.0,0.0,0.325,-0.8513,79.2,30.0,32.5,42.92,Medium
T0053637,C0038,C0084,8362710,2024-03-05 02:28:39,SWIFT,Myanmar,Turkey,0,,0.0,0.0,0.0,0.875,1.9581,41.2,7.83,87.5,36.09,Low
T9300464,C0005,C0045,263470,2025-06-25 21:29:09,UPI,India,India,1,Velocity-Spike,28.2857,0.0,0.0,0.1,-0.1063,48.0,30.0,10.0,29.5,Low
T9300757,C0043,C0178,333768,2024-07-17 12:07:17,UPI,India,India,1,Velocity-Spike,29.0,0.0,1.0,0.1,0.0448,48.8,50.18,10.0,39.79,Low
T9300509,C0053,C0182,36877,2024-10-08 15:58:29,UPI,India,India,1,Velocity-Spike,29.0,0.0,0.0,0.1,-0.5937,66.8,30.0,10.0,34.2,Low
T0043615,C0037,C0140,579218,2024-05-17 08:35:07,IMPS,India,Pakistan,0,,0.0,0.0,0.0882,0.425,-0.8533,8.8,1.76,42.5,13.7,Low
T9300909,C0023,C0092,95067,2024-05-22 11:12:45,UPI,Pakistan,India,1,Velocity-Spike,13.0,0.0,0.0,0.325,-0.685,79.2,30.0,32.5,42.92,Medium
T0028769,C0031,C0163,3406415,2024-10-03 02:18:31,UPI,Germany,India,0,,0.0,0.0,0.0,0.125,0.1679,8.4,0.67,12.5,5.56,Low
T9300323,C0091,C0056,327521,2024-11-22 12:54:48,UPI,Germany,India,1,Velocity-Spike,29.0,0.0,0.0,0.125,-0.2502,71.2,30.0,12.5,35.92,Low
T0154965,C0119,C0182,1194908,2025-05-03 18:04:39,UPI,Cayman Islands,India,0,,0.0,0.0,0.0,0.375,-0.6309,44.8,0.0,37.5,20.58,Low
T0009452,C0014,C0065,96764,2025-05-29 05:57:35,Card,India,India,0,,0.0,0.0,0.0,0.1,-1.0276,8.4,0.0,10.0,4.6,Low
T0060540,C0043,C0123,324667,2024-01-24 04:05:19,IMPS,India,India,0,,0.0,0.0,0.0,0.1,0.0253,48.8,0.1,10.0,14.75,Low
T0271480,C0200,C0124,60312,2024-01-21 15:08:50,UPI,India,Pakistan,0,,0.0,0.0,0.0,0.425,-0.5433,29.6,0.0,42.5,18.02,Low
T0120481,C0094,C0042,4176673,2024-01-08 22:58:29,Card,India,UAE,0,,0.0,0.0,0.0,0.425,0.4461,10.8,1.78,42.5,14.22,Low
T0179205,C0135,C0125,2694554,2024-09-23 06:52:57,UPI,India,India,0,,0.0,0.0,0.0,0.1,-0.0893,12.8,0.0,10.0,5.7,Low
T0110494,C0087,C0123,995983,2024-02-07 07:12:46,UPI,India,India,0,,0.0,1.0,0.0,0.1,0.5716,12.8,27.29,10.0,19.34,Low
T0263137,C0193,C0038,144603,2024-07-20 16:39:30,UPI,India,India,0,,0.0,0.0,0.0,0.1,-0.7322,14.4,0.0,10.0,6.1,Low
T0041958,C0036,C0047,1426594,2025-10-15 03:52:55,Card,Turkey,India,0,,0.0,0.0,0.0,0.325,-0.5472,29.2,0.0,32.5,15.42,Low
T0019232,C0021,C0135,128112,2025-12-20 18:35:58,SWIFT,Turkey,Germany,0,,0.0,0.0,0.0,0.325,-0.3975,52.4,0.0,32.5,21.22,Low
T9301269,C0184,C0121,266532,2024-10-29 05:32:48,UPI,India,India,1,Velocity-Spike,14.0,0.0,1.0,0.1,-0.0998,47.2,50.0,10.0,39.3,Low
T0260632,C0189,C0121,3772845,2024-09-24 17:28:11,Card,UAE,India,0,,0.0,0.0,0.0,0.325,5.0,77.2,20.0,32.5,37.42,Low
T0245313,C0177,C0100,301820,2024-11-23 19:09:14,IMPS,Singapore,India,0,,0.0,0.0,0.0,0.125,-0.4914,11.2,0.0,12.5,5.92,Low
T0043222,C0037,C0079,1838046,2024-08-07 00:21:42,SWIFT,India,India,0,,0.0,0.0,0.0,0.1,-0.3986,8.8,0.0,10.0,4.7,Low
T0007531,C0013,C0011,435101,2025-02-06 11:58:36,UPI,India,India,0,,0.0,0.0,0.0,0.1,0.2628,11.6,1.05,10.0,5.92,Low
T0238312,C0169,C0134,389174,2024-09-02 01:13:25,UPI,India,India,0,,0.0,0.0,0.0,0.1,-0.3576,36.4,0.0,10.0,11.6,Low
T9400016,C0136,C0009,1050955,2025-08-18 10:17:12,SWIFT,India,North Korea,1,Geographic-Risk,0.0,0.0,0.0,0.8,0.6558,14.8,2.62,80.0,25.01,Low
T9000164,C0025,C0136,968355,2024-09-04 21:51:28,UPI,Myanmar,India,1,Structuring,5.0,1.0,0.0,0.575,1.4097,42.4,45.64,57.5,47.8,Medium
T0032249,C0032,C0061,2481541,2025-03-26 11:13:14,RTGS,UAE,India,0,,0.0,0.0,0.0,0.325,-0.1662,16.4,0.0,32.5,12.22,Low
T0000019,C0001,C0059,325502,2025-10-10 10:12:10,UPI,India,India,0,,0.0,0.0,0.2796,0.1,-0.4552,10.8,5.59,10.0,8.0,Low
T9300500,C0053,C0095,10536,2024-10-08 01:48:29,UPI,India,India,1,Velocity-Spike,11.0,0.0,0.0,0.1,-0.6503,46.8,30.0,10.0,29.2,Low
T9301103,C0111,C0083,109556,2025-10-12 11:49:46,UPI,India,India,1,Velocity-Spike,29.0,0.0,0.0,0.1,-0.4374,48.0,30.0,10.0,29.5,Low
T0255689,C0183,C0193,512488,2025-03-19 13:58:13,NEFT,India,Turkey,0,,0.0,0.0,0.0,0.425,-0.1688,14.4,0.0,42.5,14.22,Low
T0118604,C0094,C0017,1573741,2024-12-11 06:46:50,UPI,India,UK,0,,0.0,0.0,0.0,0.125,-0.4941,30.8,0.0,12.5,10.82,Low
T9300480,C0053,C0105,314040,2024-10-08 01:26:29,UPI,India,India,1,Velocity-Spike,9.0,0.0,0.0,0.1,0.0024,46.8,27.01,10.0,27.7,Low
T9300194,C0104,C0028,340419,2025-05-27 05:30:06,UPI,North Korea,India,1,Velocity-Spike,8.0,0.0,0.0,0.575,0.0591,62.8,24.24,57.5,42.2,Medium
T9300101,C0192,C0039,24234,2025-03-10 19:27:11,UPI,Pakistan,India,1,Velocity-Spike,29.0,0.0,0.0,0.325,-0.6209,55.6,30.0,32.5,37.02,Low
T0200481,C0151,C0029,3489926,2025-08-24 19:40:39,SWIFT,Germany,India,0,,0.0,0.0,0.0,0.125,4.3908,12.8,17.56,12.5,15.1,Low
T9300651,C0123,C0184,149713,2025-11-29 17:23:02,UPI,India,India,1,Velocity-Spike,29.0,0.0,0.0,0.1,-0.351,46.8,30.0,10.0,29.2,Low
T0004018,C0005,C0082,51469,2024-10-21 17:22:20,IMPS,India,Germany,0,,0.0,0.0,0.0,0.125,-0.5623,48.0,0.0,12.5,15.12,Low
T0022297,C0027,C0028,1520494,2024-04-03 19:24:12,SWIFT,India,Turkey,0,,0.0,0.0,0.0,0.425,1.3749,12.0,5.5,42.5,16.38,Low
T0125042,C0095,C0108,138674,2025-05-21 14:17:24,IMPS,India,Turkey,0,,0.0,0.0,0.0,0.425,-0.7413,12.8,0.0,42.5,13.82,Low
T0191924,C0143,C0072,1822971,2024-09-16 02:37:48,IMPS,India,India,0,,0.0,0.0,0.0,0.1,-0.4041,10.0,0.0,10.0,5.0,Low
T0138962,C0108,C0013,47611,2024-06-04 04:47:30,IMPS,UAE,India,0,,0.0,0.0,0.0,0.325,-0.8807,26.8,0.0,32.5,14.82,Low
T9300391,C0121,C0098,237834,2025-04-06 22:32:49,UPI,India,India,1,Velocity-Spike,29.0,0.0,1.0,0.1,-0.1615,47.2,50.0,10.0,39.3,Low
T0054713,C0038,C0141,7145744,2024-04-19 21:12:51,UPI,Myanmar,Turkey,0,,0.0,0.0,0.0,0.875,1.5185,41.2,6.07,87.5,35.21,Low
T9000004,C0152,C0134,961157,2024-08-01 03:29:01,NEFT,UAE,India,1,Structuring,3.0,1.0,0.2806,0.325,0.5183,48.4,41.69,32.5,41.07,Medium
T0105900,C0082,C0174,9605348,2024-05-28 14:19:00,SWIFT,India,India,0,,0.0,0.0,0.0,0.1,2.4069,9.6,9.63,10.0,9.72,Low
T0032633,C0032,C0120,3780040,2025-05-04 13:36:00,NEFT,UAE,India,0,,0.0,0.0,0.0,0.325,0.3028,16.4,1.21,32.5,12.83,Low
T9200015,C0080,C0068,2536743,2025-09-19 03:59:20,NEFT,India,India,1,Round-Tripping,0.0,0.0,0.9306,0.1,4.7828,8.8,37.74,10.0,23.57,Low
T0120114,C0094,C0115,2790871,2024-11-27 19:43:14,UPI,India,India,0,,1.0,0.0,0.0,0.1,-0.0545,10.8,3.0,10.0,6.7,Low
T0098264,C0074,C0178,1232600,2024-05-24 21:37:31,IMPS,India,UK,0,,0.0,0.0,0.0,0.125,0.934,14.4,3.74,12.5,8.6,Low
T0242785,C0175,C0185,148181,2024-12-03 03:55:22,Card,India,India,0,,0.0,0.0,0.0,0.1,-0.3543,5.6,0.0,10.0,3.9,Low
T9300290,C0049,C0110,59870,2025-04-08 10:40:52,UPI,India,India,1,Velocity-Spike,28.4828,0.0,0.0,0.1,-0.8619,52.0,30.0,10.0,30.5,Low
T0220656,C0162,C0024,4647026,2025-09-14 22:59:45,UPI,India,India,0,,0.0,0.0,0.0,0.1,0.616,8.0,2.46,10.0,5.73,Low
T0190658,C0143,C0047,3395666,2025-02-23 02:31:51,UPI,India,India,0,,0.0,0.0,0.0,0.1,0.164,10.0,0.66,10.0,5.33,Low
T0080048,C0061,C0107,309596,2024-11-07 02:58:26,Card,Nigeria,India,0,,0.0,0.0,0.0,0.325,-0.4795,27.2,0.0,32.5,14.92,Low
T0183309,C0139,C0080,1420868,2025-06-07 22:57:00,IMPS,India,Iran,0,,0.0,0.0,0.0,0.8,-0.5493,10.8,0.0,80.0,22.7,Low
T9301465,C0041,C0114,413960,2025-09-20 20:34:10,UPI,UK,India,1,Velocity-Spike,29.0,0.0,0.4733,0.125,0.2173,46.8,40.34,12.5,35.0,Low
T0255584,C0183,C0005,412416,2025-06-01 06:43:05,Card,India,Germany,0,,0.0,0.0,0.0,0.125,-0.3221,14.4,0.0,12.5,6.72,Low
T0164216,C0126,C0078,11035772,2024-06-29 05:00:00,UPI,Turkey,India,0,,0.0,0.0,0.0,0.325,2.9236,22.4,11.69,32.5,19.57,Low
T9301239,C0051,C0167,194669,2025-09-25 16:30:03,UPI,India,India,1,Velocity-Spike,29.0,0.0,0.0,0.1,-0.2543,46.4,30.0,10.0,29.1,Low
T9000049,C0035,C0184,909554,2024-06-17 06:04:34,UPI,Germany,India,1,Structuring,2.1343,1.0,0.0,0.125,0.8386,73.2,34.76,12.5,38.8,Low
T9300130,C0019,C0120,222534,2025-03-20 02:51:09,UPI,Nigeria,India,1,Velocity-Spike,12.0,0.0,0.0,0.325,-0.1944,55.6,30.0,32.5,37.02,Low
T0134010,C0103,C0127,141713,2024-05-18 15:57:57,SWIFT,India,India,0,,0.0,0.0,0.0,0.1,-0.3682,5.6,0.0,10.0,3.9,Low
T0243079,C0176,C0068,64318,2025-07-16 21:19:36,UPI,Turkey,India,0,,0.0,0.0,0.0,0.325,-0.5347,18.8,0.0,32.5,12.82,Low
T0054993,C0038,C0141,1818301,2024-04-29 15:14:25,NEFT,Myanmar,India,0,,0.0,0.0,1.0,0.575,-0.4058,41.2,20.0,57.5,34.67,Low
T0108560,C0084,C0075,247824,2024-10-13 02:35:04,Card,India,India,0,,0.0,0.0,0.0,0.1,-0.14,47.6,0.0,10.0,14.4,Low
T0233406,C0167,C0156,6215872,2025-09-07 18:23:19,Card,India,India,0,,0.0,0.0,0.0,0.1,1.1826,10.8,4.73,10.0,7.56,Low
T0142700,C0113,C0166,662441,2025-03-23 14:46:19,UPI,India,India,0,,0.0,0.0,0.0,0.1,0.0608,12.4,0.24,10.0,5.72,Low
T0182123,C0139,C0196,2444913,2025-07-28 12:46:37,IMPS,India,UK,0,,0.0,0.0,0.0,0.125,-0.1794,10.8,0.0,12.5,5.82,Low
T9300059,C0063,C0157,151493,2024-12-17 08:05:58,UPI,India,India,1,Velocity-Spike,29.0,0.0,0.0,0.1,-0.3472,46.8,30.0,10.0,29.2,Low
T9300728,C0043,C0175,403851,2024-07-17 01:49:17,UPI,India,India,1,Velocity-Spike,5.0,0.0,1.0,0.1,0.1956,48.8,35.78,10.0,32.59,Low
T9300126,C0019,C0184,377042,2025-03-20 00:22:09,UPI,Nigeria,India,1,Velocity-Spike,4.0,0.0,0.0,0.325,0.1379,55.6,12.55,32.5,28.3,Low
T0014900,C0016,C0060,1152920,2025-04-18 22:44:01,UPI,Cayman Islands,India,0,,0.0,0.0,0.0,0.375,-0.6461,27.6,0.0,37.5,16.27,Low
T0161368,C0120,C0184,416554,2024-07-20 13:00:16,IMPS,India,USA,0,,0.0,0.0,0.0,0.125,-0.3157,14.8,0.0,12.5,6.82,Low
